stop_lat,stop_code,stop_lon,timepoint,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
43.0126993,2443,-88.002391,0,,2443,,NATIONAL & S72,0,
43.0137797,2441,-87.9977723,1,,2441,,NATIONAL & S68,0,
42.9035319,2446,-87.9200197,0,,2446,,S6 & W 7720,0,
42.9066342,2447,-87.9200047,0,,2447,,S6 & W 7610,0,
43.0121787,2444,-88.0052542,0,,2444,,NATIONAL & S74,0,
43.0118285,2445,-88.0070985,1,,2445,,NATIONAL & S76,0,
43.1123215,9525,-88.0214264,0,,9525,,VILLARD & N87,0,
43.0105952,2448,-88.016862,0,,2448,,NATIONAL & S84,0,
42.9588632,9527,-87.9098957,0,,9527,,LAYTON & HOWELL,0,
42.9950465,9520,-87.8953866,1,,9520,,HERMAN & KK,0,
43.0140066,9521,-87.922738,0,,9521,,LAPHAM & S9,0,
43.0142642,9522,-87.9225213,0,,9522,,LAPHAM & S9,0,
43.0360935,9523,-87.9173154,1,,9523,,CLYBOURN & N5,0,
43.0753597,5825,-88.0173363,0,,5825,,BURLEIGH & N84,0,
43.1189163,4813,-87.9404969,0,,4813,,SILVER SPRING & CRESTWOOD,0,
43.0168898,2047,-87.9214297,0,,2047,,GREENFIELD & S8,0,
43.0169617,2044,-87.9365144,0,,2044,,GREENFIELD & BOW,0,
43.0168878,2045,-87.9309415,0,,2045,,GREENFIELD & S15,0,
43.0168593,2043,-87.9425226,0,,2043,,GREENFIELD & S23,0,
43.0168572,2040,-87.9528908,0,,2040,,GREENFIELD & S31,0,
43.0168772,2041,-87.9504978,0,,2041,,GREENFIELD & S29,0,
42.9808163,1297,-87.8793777,0,,1297,,KK & MORGAN,0,
43.0168904,2048,-87.9186132,1,,2048,,GREENFIELD & S6,0,
42.932784,2105,-87.939618,0,,2105,,S20 & MANGOLD,0,
43.0110327,6371,-88.0168497,0,,6371,,S84 & MAPLE,0,
42.9930059,9616,-88.0472431,0,,9616,,S108 & NATIONAL,0,
43.0385709,9638,-87.9473892,0,,9638,,WISCONSIN & N27 BRT STATION,0,
43.0388109,9639,-87.9480319,0,,9639,,WISCONSIN & N27 BRT STATION,0,
42.9957078,9615,-87.896412,0,,9615,,KINNICKINNIC & LOGAN-RUSSELL,0,
43.0371698,9630,-87.9841589,1,,9630,,HAWLEY & BLUEMOUND BRT STATION,0,
43.037242,9631,-87.984595,1,,9631,,HAWLEY & BLUEMOUND BRT STATION,0,
43.0386621,9632,-87.9801608,0,,9632,,WISCONSIN & N53 BRT STATION,0,
43.0389246,9633,-87.9797495,0,,9633,,WISCONSIN & N53 BRT STATION,0,
43.0386543,9634,-87.9694352,0,,9634,,WISCONSIN & N45 BRT STATION,0,
43.0389518,9635,-87.9696345,0,,9635,,WISCONSIN & N45 BRT STATION,0,
43.0386109,9636,-87.9572827,1,,9636,,WISCONSIN & N35 BRT STATION,0,
43.0388789,9637,-87.958253,1,,9637,,WISCONSIN & N35 BRT STATION,0,
42.9549534,7269,-87.9094189,0,,7269,,HOWELL & S4940,0,
42.9517253,7268,-87.9093983,0,,7268,,HOWELL & EDGERTON,0,
42.9593494,7265,-87.9098294,1,,7265,,HOWELL & LAYTON,0,
42.9522267,7267,-87.9099454,0,,7267,,HOWELL & EDGERTON,0,
42.9550015,7266,-87.9099441,0,,7266,,HOWELL & S4925,0,
43.1116838,7260,-87.9630992,1,,7260,,HOPKINS & VILLARD,0,
43.1193801,6206,-88.0516303,0,,6206,,SILVER SPRING & BOELTER,0,
43.1193389,6207,-88.0545201,0,,6207,,SILVER SPRING & LOVERS LANE,0,
42.9168513,2688,-87.9496648,0,,2688,,S27 & RAWSON,0,
42.9185582,2689,-87.9500192,1,,2689,,S27 & RIVERWOOD,0,
43.0603347,3732,-88.0451535,0,,3732,,NORTH & N106,0,
43.1196581,6203,-88.0206601,0,,6203,,SILVER SPRING & N87,0,
43.0712464,2684,-87.9138983,0,,2684,,LOCUST & MLK,0,
43.1188043,6208,-88.0558335,1,,6208,,LOVERS LANE & SILVER SPRING,0,
42.9239852,2681,-87.9498701,0,,2681,,S27 & SYCAMORE,0,
43.1704815,6806,-87.9847965,0,,6806,,N60 & DEAN,0,
43.0030585,5292,-87.9449012,0,,5292,,LINCOLN & FOREST HOME,0,
43.1775141,6804,-87.9896535,0,,6804,,BROWN DEER & N64,0,
43.1747935,6805,-87.9847021,0,,6805,,N60 & WABASH,0,
43.1775939,6803,-87.9958649,0,,6803,,BROWN DEER & 6933,0,
43.1827515,6800,-88.0045941,0,,6800,,N76 & NORTHRIDGE MALL DRIVE SOUTH,0,
43.0345537,91,-88.0163096,1,,91,,GLENVIEW & WISC LUTH HIGH SCHOOL,0,
43.1342779,92,-88.0105077,0,,92,,MILL & N80,0,
43.1342445,94,-88.015452,0,,94,,MILL & N84,0,
43.0162853,1623,-88.0413749,0,,1623,,GREENFIELD & S103,0,
43.0162831,1622,-88.0445597,1,,1622,,GREENFIELD & S106,0,
43.0870873,1993,-87.930523,0,,1993,,ATKINSON & N16,0,
43.0861189,1992,-87.9282828,0,,1992,,ATKINSON & N14,0,
43.0899294,1995,-87.93619,1,,1995,,ATKINSON & N19,0,
43.0164606,1626,-88.0198185,0,,1626,,GREENFIELD & S86,0,
43.0164042,1625,-88.0266893,1,,1625,,GREENFIELD & S92,0,
43.0911997,1996,-87.9381319,0,,1996,,ATKINSON & N21,0,
43.0949245,1999,-87.9435647,0,,1999,,ATKINSON & ROOSEVELT,0,
43.0443094,348,-87.9575721,1,,348,,N35 & HIGHLAND,0,
